"data.stra","data.surf","data.deep","points","age","data.gender","attitude"
3.375,2.58333333333333,3.58333333333333,25,53,"F",37
2.75,3.16666666666667,2.91666666666667,12,55,"M",31
3.625,2.25,3.5,24,49,"F",25
3.125,2.25,3.5,10,53,"M",35
3.625,2.83333333333333,3.66666666666667,22,49,"M",37
3.625,2.41666666666667,4.75,21,38,"F",38
2.25,1.91666666666667,3.83333333333333,21,50,"M",35
4,2.83333333333333,3.25,31,37,"F",29
4.25,2.16666666666667,4.33333333333333,24,37,"M",38
3.5,3,4,26,42,"F",21
3.625,2.66666666666667,3.58333333333333,31,37,"M",39
4.75,2.41666666666667,3.83333333333333,31,34,"F",38
3.625,2.25,4.25,23,34,"F",24
3.5,2.75,3.33333333333333,25,34,"F",30
1.75,2.33333333333333,4.16666666666667,21,35,"M",26
3.875,2.33333333333333,3.66666666666667,31,33,"F",41
1.375,2.91666666666667,4.08333333333333,20,32,"F",26
3.25,2.5,3.5,22,44,"F",26
3,3.75,4.08333333333333,9,29,"M",17
3.75,2.75,4,24,30,"F",27
2.625,2.33333333333333,3.91666666666667,28,27,"M",39
2.375,2.41666666666667,4,30,29,"M",34
3.625,3,4,24,31,"F",27
2.75,2.41666666666667,3.66666666666667,9,37,"F",23
1.75,2.83333333333333,3.66666666666667,26,26,"F",37
3.25,3.16666666666667,4.41666666666667,32,26,"F",44
4,3,3.91666666666667,32,30,"M",41
3.625,2,3.75,33,33,"F",37
2.875,3.5,3.25,29,33,"F",25
3,3.75,3.58333333333333,30,28,"M",30
1.625,2.5,4.91666666666667,19,26,"M",34
3.25,2.08333333333333,3.58333333333333,23,27,"F",32
3.5,2.41666666666667,2.91666666666667,19,25,"F",20
3,2.58333333333333,3.66666666666667,12,31,"F",24
3.25,1.58333333333333,4.5,10,20,"M",42
1.875,2.83333333333333,4.08333333333333,11,39,"F",16
4.375,1.83333333333333,3.83333333333333,20,38,"M",31
3.625,2.41666666666667,3.25,26,24,"M",38
2.5,3.25,2.33333333333333,31,26,"M",38
1.25,3.41666666666667,3.33333333333333,20,25,"M",33
4,3.41666666666667,4.08333333333333,23,30,"F",17
3,3.16666666666667,2.91666666666667,12,25,"F",25
2.5,3.5,3.33333333333333,24,30,"M",32
4.875,2.66666666666667,3.83333333333333,17,48,"F",35
5,2.41666666666667,3.66666666666667,29,24,"F",32
4.375,3.58333333333333,4.66666666666667,23,40,"F",42
3.25,2.08333333333333,3.75,28,25,"M",31
4,3.75,3.41666666666667,31,23,"F",39
3.125,2.91666666666667,4.16666666666667,23,25,"F",19
2.5,2.91666666666667,2.91666666666667,25,23,"F",21
3.125,2.41666666666667,4.16666666666667,18,27,"M",25
3.25,3,3.58333333333333,19,25,"M",32
2.125,3.41666666666667,2.83333333333333,22,23,"M",32
2.75,2.91666666666667,4,25,23,"F",26
2.375,3.25,2.91666666666667,21,23,"F",23
3.125,3.25,3,9,45,"F",38
4,2.33333333333333,4.08333333333333,28,22,"F",28
4,3.25,2.91666666666667,25,23,"F",33
2.25,2.5,3.5,29,21,"M",48
3.25,1.75,4.33333333333333,33,21,"M",40
3.625,2.25,4.25,33,21,"F",40
3.625,2.08333333333333,3.41666666666667,25,21,"F",47
2.5,2.83333333333333,3.08333333333333,18,26,"F",23
1.875,2.83333333333333,4.58333333333333,22,25,"F",31
2,2.41666666666667,3.41666666666667,17,26,"F",27
1.875,2.25,3.41666666666667,25,21,"M",41
4,2.83333333333333,3.41666666666667,28,23,"F",34
2.875,2.25,3.58333333333333,22,22,"F",25
3.875,1.83333333333333,1.58333333333333,26,22,"F",21
2.5,2.91666666666667,3.33333333333333,11,22,"F",14
2.75,2.91666666666667,4.33333333333333,29,23,"F",19
4.5,2.08333333333333,4.41666666666667,22,22,"M",37
3.375,2.33333333333333,4.83333333333333,21,23,"M",32
2.625,2.41666666666667,3.08333333333333,28,24,"M",28
4.125,2.75,3,33,22,"F",41
2.625,3.25,4.08333333333333,16,23,"F",25
2.25,1.75,4.08333333333333,31,22,"M",28
2.75,2.58333333333333,3.75,22,20,"M",38
3,3.33333333333333,3.08333333333333,31,22,"M",31
1.625,2.83333333333333,4.75,23,21,"M",35
1.875,2.5,4.25,26,22,"F",36
3.375,2.41666666666667,4.16666666666667,12,23,"F",26
3.75,2.41666666666667,4.41666666666667,26,21,"M",44
2.125,2.58333333333333,3.83333333333333,31,22,"M",45
2.375,3,3.33333333333333,19,29,"M",32
2.75,2,3.16666666666667,30,29,"F",39
3.125,3.41666666666667,3.16666666666667,12,21,"F",25
3.5,2.83333333333333,3.83333333333333,17,28,"M",33
2.625,2.25,4.25,18,21,"F",33
3.375,2.75,3.83333333333333,19,30,"F",30
2.25,3.91666666666667,3.66666666666667,21,21,"F",29
3,2.33333333333333,3.83333333333333,24,23,"M",33
4,2.75,3.83333333333333,28,21,"F",33
3.5,2.75,3.83333333333333,17,21,"F",35
2.625,2.91666666666667,3.66666666666667,18,20,"F",36
2.5,2.08333333333333,4.33333333333333,17,22,"M",37
3.75,3.66666666666667,3.75,23,21,"M",42
3.625,2.83333333333333,4.16666666666667,26,21,"M",32
4.125,3.41666666666667,4,28,20,"F",50
4.375,1.58333333333333,4,31,22,"M",47
2.625,2.91666666666667,4.58333333333333,27,20,"F",36
4,3,3.66666666666667,25,20,"F",36
2.75,2.91666666666667,3.66666666666667,23,24,"M",29
2.75,2.66666666666667,3.83333333333333,21,20,"F",35
1.375,3,2.58333333333333,27,19,"F",40
2.25,2.75,3.5,28,21,"F",35
3.625,3.08333333333333,3.08333333333333,23,21,"F",32
3.75,2.5,4.25,21,22,"F",26
4,2.33333333333333,3.16666666666667,25,25,"F",20
3.125,3,3.08333333333333,11,21,"F",27
3.25,3,4.16666666666667,19,22,"F",32
2.125,4,2.25,24,25,"F",33
2.875,3.25,3.33333333333333,28,20,"F",39
1.5,3.5,3.08333333333333,21,24,"M",33
2.5,3.5,2.75,24,20,"F",30
3.25,3.83333333333333,3.25,24,21,"M",37
3.625,2.91666666666667,4,20,20,"F",25
3.875,2.16666666666667,3.58333333333333,19,20,"F",29
3.875,1.66666666666667,4.08333333333333,30,31,"M",39
2.375,2.08333333333333,4.25,22,20,"F",36
3,2.83333333333333,3.41666666666667,16,22,"F",29
3.375,3.41666666666667,3.08333333333333,16,22,"F",21
2.75,3.33333333333333,3.5,19,21,"M",31
4.5,2.58333333333333,3.66666666666667,30,22,"M",40
2.625,2.83333333333333,4.25,23,21,"F",31
2.75,3.33333333333333,4.25,19,21,"F",23
3.25,3,3.83333333333333,18,21,"F",28
4.125,2.58333333333333,4.41666666666667,28,21,"F",37
3.375,2.41666666666667,3.5,21,20,"F",26
2.75,3.58333333333333,3.58333333333333,19,21,"F",24
4.125,2.08333333333333,3.66666666666667,27,25,"F",30
3.25,4.33333333333333,2.08333333333333,24,21,"M",28
2.875,2.66666666666667,4.25,21,24,"F",29
2.875,3,3.58333333333333,20,20,"F",24
2.375,2.66666666666667,4,28,21,"M",31
3.875,2.16666666666667,3.33333333333333,12,20,"F",19
2.125,2.66666666666667,3.5,21,20,"F",20
4,2.25,3.16666666666667,28,18,"F",38
3.25,2.66666666666667,3.58333333333333,31,21,"F",34
2.625,3.33333333333333,3.41666666666667,18,19,"F",37
2.75,3.5,4.25,25,21,"F",29
4,2.75,3.25,19,20,"F",23
3,2,4.41666666666667,21,21,"M",41
3.375,2.83333333333333,3.25,16,20,"F",27
3.875,3.5,3.91666666666667,7,21,"F",35
3.25,2.5,3.58333333333333,21,20,"F",34
3.375,3.16666666666667,4.5,17,18,"F",32
4.125,3.08333333333333,3.58333333333333,22,22,"M",33
3.5,2.91666666666667,3.66666666666667,18,22,"F",33
2,3.16666666666667,2.58333333333333,25,24,"M",35
3.625,2.5,4.16666666666667,24,19,"F",32
3.375,3.83333333333333,3.25,23,20,"F",31
2.125,2.25,4.33333333333333,23,20,"F",28
4.625,3.41666666666667,3.91666666666667,26,17,"F",17
2.5,3.75,2.66666666666667,12,19,"M",19
2.875,3,3.08333333333333,32,20,"F",35
2.75,2.58333333333333,3.75,22,20,"F",24
4,3.33333333333333,4.16666666666667,20,20,"F",21
2.375,2.83333333333333,4.16666666666667,21,20,"F",29
3.875,3,3.25,23,19,"F",19
3.375,2.83333333333333,4.08333333333333,20,19,"F",20
1.75,3.16666666666667,2.91666666666667,28,22,"F",42
3,2.75,3.83333333333333,31,35,"M",41
2.625,3.41666666666667,3.16666666666667,18,18,"F",37
2.625,3,3.41666666666667,30,19,"F",36
3.375,2.66666666666667,4.08333333333333,19,21,"M",18
